Date,id,sales,asins,brand,categories,name,Price
2016-12-21,9,15323.51519460373,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-12-28,9,15391.604594863758,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-01-04,9,14903.817875802843,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-01-11,9,14390.619710563027,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-01-18,9,14566.690139340375,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-01-25,9,15379.070103078571,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-02-01,9,15972.041983246321,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-02-08,9,15689.080590986034,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2017-02-15,9,14911.56600229109,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-11-09,10,56406.606932255505,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-11-16,10,56804.8984992956,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-11-23,10,56216.566592734634,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-11-30,10,55698.65443497296,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-12-07,10,56479.05007816799,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-12-14,10,58305.30948353943,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-12-21,10,59375.18835512592,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-12-28,10,58177.214826140655,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-01-04,10,55301.77259949153,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-01-11,10,53162.81160520039,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-01-18,10,53824.48374732558,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-01-25,10,57186.01534686346,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-02-01,10,61307.06844622853,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-02-08,10,64286.052531369,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2017-02-15,10,65598.84387993831,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059.0
2016-11-09,11,2272.8833160868858,B07FMQY1DD,Nargis,Grocery & Gourmet Foods, 2018 Second Flush Darjeeling Tea Thurbo FTGFOP 1 (ch) Healthy Herbal Fresh Beverage 1 Kg ,2455.0
2016-11-16,11,2736.6538958905367,B07FMQY1DD,Nargis,Grocery & Gourmet Foods, 2018 Second Flush Darjeeling Tea Thurbo FTGFOP 1 (ch) Healthy Herbal Fresh Beverage 1 Kg ,2455.0
2016-11-23,11,2869.1616379556463,B07FMQY1DD,Nargis,Grocery & Gourmet Foods, 2018 Second Flush Darjeeling Tea Thurbo FTGFOP 1 (ch) Healthy Herbal Fresh Beverage 1 Kg ,2455.0
